"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"L'Olympique","Val d'Isère","30-BGD","https://lift-world.info/en/lifts/2033/datas.htm",,,,"1835 m",,,"?? m","2689 m","44,14 %","?? %","2147 m","3 Stk","7,5 m/s","4,0 min",,"854 m"
"Grand Pré","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/4167/datas.htm",,,,"2491 m",,,"?? m","2715 m","?? %","66 %","866 m","12 Stk","2,3 m/s","6,28 min",,"224 m"
"Glacier Express","Val d'Isère","6-CLD","https://lift-world.info/en/lifts/1441/datas.htm",,,,"2481 m",,,"?? m","2805 m","18 %","53 %","1780 m","16 Stk","5,0 m/s","6,0 min",,"324 m"
"Funival","Val d'Isère","220-FUC","https://lift-world.info/en/lifts/2837/datas.htm",,,,"1797 m",,,"?? m","2689 m","?? %","53 %","2300 m",,"12,0 m/s","?? min",,"892 m"
"Fornet","Val d'Isère","80-AT","https://lift-world.info/en/lifts/4170/datas.htm",,,,"1947 m",,,"?? m","2330 m","?? %","63 %","?? m","?? Stk","8,0 m/s","?? min",,"383 m"
"Fontaine Froide","Val d'Isère","6-CLD","https://lift-world.info/en/lifts/16186/datas.htm",,,,"2384 m",,,"?? m","2690 m","27 %","?? %","1186 m","10 Stk","5,5 m/s","3,5 min",,"307 m"
"Fontaine Froid","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/4165/datas.htm",,,,"2365 m",,,"?? m","2671 m","26 %","54 %","1240 m","14 Stk","2,3 m/s","?? min",,"296 m"
"Etroits","Val d'Isère","3-CLF","https://lift-world.info/en/lifts/4128/datas.htm",,,,"1797 m",,,"?? m","2313 m","32 %","44 %","1690 m","28 Stk","2,25 m/s","?? min",,"516 m"
"Datcha","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/4162/datas.htm",,,,"2417 m",,,"?? m","2616 m","?? %","54 %","845 m","13 Stk","2,3 m/s","6,13 min",,"199 m"
"Datcha","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/19624/datas.htm",,,,"2420 m",,,"?? m","2619 m","23 %","50 %","865 m","12 Stk","5,0 m/s","3,9 min",,"199 m"
"Daille","Val d'Isère","10-MGD","https://lift-world.info/en/lifts/18692/datas.htm",,,,"1796 m",,,"?? m","2268 m","?? %","?? %","1664 m","?? Stk","6,0 m/s","?? min",,"489 m"
"Cugnai","Val d'Isère","2-CLF","https://lift-world.info/en/lifts/4161/datas.htm",,,,"2463 m",,,"?? m","2873 m","?? %","30 %","2008 m","20 Stk","2,5 m/s","13,4 min",,"410 m"
"Cugnai","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/11375/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","771 m","?? Stk","?? m/s","?? min",,"222 m"
"Coupe du Monde (2009)","Val d'Isère","1-SL","https://lift-world.info/en/lifts/17538/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","268 m","?? Stk","3,0 m/s","?? min",,"106 m"
"Cote 3300","Val d'Isère","2-SL","https://lift-world.info/en/lifts/8825/datas.htm",,,,"3071 m",,,"?? m","3253 m","?? %","35 %","715 m","?? Stk","2,5 m/s","?? min",,"182 m"
"Col 2","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8824/datas.htm",,,,"2572 m",,,"?? m","2796 m","?? %","43 %","1260 m","?? Stk","3,9 m/s","?? min",,"224 m"
"Col 1","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8823/datas.htm",,,,"2572 m",,,"?? m","2785 m","?? %","40 %","1235 m","?? Stk","3,9 m/s","?? min",,"213 m"
"Cema","Val d'Isère","4-CLF","https://lift-world.info/en/lifts/4159/datas.htm",,,,"2725 m",,,"?? m","2804 m","?? %","39 %","493 m","6 Stk","2,11 m/s","?? min",,"79 m"
"Cascade Express","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/4175/datas.htm",,,,"2725 m",,,"?? m","3140 m","?? %","46 %","1741 m","17 Stk","4,55 m/s","?? min",,"415 m"
"Borsat Express","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/2298/datas.htm",,,,"2391 m",,,"?? m","2771 m","18 %","81 %","2097 m","?? Stk","5,0 m/s","?? min",,"380 m"
"Bellevarde Express","Val d'Isère","4-CLD","https://lift-world.info/en/lifts/4157/datas.htm",,,,"1850 m",,,"?? m","2231 m","?? %","64 %","1047 m","10 Stk","4,0 m/s","?? min",,"381 m"
"Bellevarde","Val d'Isère","50-AT","https://lift-world.info/en/lifts/5700/datas.htm",,,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"3000","Val d'Isère","1-SL","https://lift-world.info/en/lifts/8822/datas.htm",,,,"2783 m",,,"?? m","2956 m","?? %","70 %","431 m","?? Stk","3,0 m/s","?? min",,"173 m"
