"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Pointe de Nyon","Morzine","35-AT","https://lift-world.info/en/lifts/9732/datas.htm",,"550 Pers/h",,,"1027 m",,,"?? m","1420 m","39 %","56 %","1085 m","?? Stk","9,4 m/s","?? min",,"393 m"
"Pléney","Morzine","6-MGD","https://lift-world.info/en/lifts/9714/datas.htm",,"1500 Pers/h",,,"997 m",,,"?? m","1498 m","39 %","67 %","1390 m","?? Stk","4,0 m/s","?? min",,"501 m"
"Pléney","Morzine","25-AT","https://lift-world.info/en/lifts/9725/datas.htm",,"280 Pers/h",,,"1010 m",,,"?? m","1521 m","38 %","64 %","1455 m","?? Stk","6,0 m/s","?? min",,"511 m"
"Pléney","Morzine","10-MGD","https://lift-world.info/en/lifts/17163/datas.htm",,"3000 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1332 m","?? Stk","6,0 m/s","?? min",,"512 m"
"Nabor","Morzine","4-CLF","https://lift-world.info/en/lifts/9715/datas.htm",,"2000 Pers/h",,,"1465 m",,,"?? m","1542 m","20 %","37 %","509 m","6 Stk","2,1 m/s","4 min",,"77 m"
"Morzine Pleney","Morzine","1-SL","https://lift-world.info/en/lifts/9730/datas.htm",,"580 Pers/h",,,"992 m",,,"?? m","1066 m","29 %","42 %","267 m","?? Stk","3,0 m/s","?? min",,"74 m"
"Mas Vergus","Morzine","1-SL","https://lift-world.info/en/lifts/9729/datas.htm",,"480 Pers/h",,,"992 m",,,"?? m","1016 m","20 %","27 %","126 m","?? Stk","2,0 m/s","?? min",,"24 m"
"Les Têtes","Morzine","4-CLF","https://lift-world.info/en/lifts/4285/datas.htm",,"2400 Pers/h",,,"1320 m",,"?? m","?? m","1650 m","27 %","84 %","1251 m","13 Stk","2,5 m/s","8,33 min",,"330 m"
"Les Mouilles","Morzine","4-CLF","https://lift-world.info/en/lifts/9719/datas.htm",,"2400 Pers/h",,,"1298 m",,"?? m","?? m","1512 m","30 %","63 %","736 m","?? Stk","2,5 m/s","?? min",,"214 m"
"Les Fys","Morzine","3-CLF","https://lift-world.info/en/lifts/9718/datas.htm",,"1350 Pers/h",,,"1168 m",,,"?? m","1563 m","34 %","76 %","1237 m","?? Stk","2,5 m/s","?? min",,"395 m"
"les Blanchots","Morzine","1-SL","https://lift-world.info/en/lifts/9728/datas.htm",,"840 Pers/h",,,"1480 m",,,"?? m","1644 m","42 %","59 %","428 m","?? Stk","3,8 m/s","?? min",,"164 m"
"Le Belvédère","Morzine","4-CLF","https://lift-world.info/en/lifts/9723/datas.htm",,"2100 Pers/h",,,"1508 m",,,"?? m","1587 m","8 %","33 %","974 m","?? Stk","2,3 m/s","?? min",,"79 m"
"La Crusaz","Morzine","4-CLF","https://lift-world.info/en/lifts/9713/datas.htm",,"2400 Pers/h",,,"980 m",,"?? m","?? m","1311 m","39 %","96 %","917 m","?? Stk","2,3 m/s","?? min",,"331 m"
"La Charniaz","Morzine","6-CLD","https://lift-world.info/en/lifts/4377/datas.htm",,"3000 Pers/h",,,"1320,70 m",,"?? m","?? m","1673,80 m","21 %","58 %","1683,92 m","17 Stk","5,0 m/s","?? min",,"353,10 m"
"L'Atray","Morzine","3-CLF","https://lift-world.info/en/lifts/9711/datas.htm",,"1350 Pers/h",,,"1200 m",,"?? m","?? m","1494 m","37 %","67 %","851 m","?? Stk","2,5 m/s","?? min",,"294 m"
"du Poireau 2","Morzine","1-SL","https://lift-world.info/en/lifts/9727/datas.htm",,"900 Pers/h",,,"1428 m",,,"?? m","1485 m","22 %","38 %","267 m","?? Stk","3,64 m/s","?? min",,"57 m"
"du Poireau 1","Morzine","1-SL","https://lift-world.info/en/lifts/9726/datas.htm",,"800 Pers/h",,,"1428 m",,,"?? m","1485 m","22 %","38 %","267 m","?? Stk","2,16 m/s","?? min",,"57 m"
"du Lavouet","Morzine","1-SL","https://lift-world.info/en/lifts/9724/datas.htm",,"700 Pers/h",,,"1425 m",,,"?? m","1544 m","21 %","26 %","568 m","?? Stk","3,66 m/s","?? min",,"119 m"
"des Troncs","Morzine","3-CLF","https://lift-world.info/en/lifts/9722/datas.htm",,"1350 Pers/h",,,"1310 m",,"?? m","?? m","1576 m","36 %","62 %","789 m","?? Stk","2,5 m/s","?? min",,"266 m"
"des Prés","Morzine","1-SL","https://lift-world.info/en/lifts/9721/datas.htm",,"450 Pers/h",,,"?? m",,"?? m","?? m","?? m","9 %","11 %","77 m","?? Stk","1,2 m/s","?? min",,"7 m"
"des Nants","Morzine","1-SL","https://lift-world.info/en/lifts/9720/datas.htm",,"800 Pers/h",,,"983 m",,,"?? m","1060 m","31 %","47 %","261 m","?? Stk","3,43 m/s","?? min",,"77 m"
"Débutants","Morzine","1-SL","https://lift-world.info/en/lifts/9717/datas.htm",,"800 Pers/h",,,"988 m",,,"?? m","1028 m","24 %","36 %","196 m","?? Stk","2,57 m/s","?? min",,"40 m"
"Chamossière Express","Morzine","6-CLD","https://lift-world.info/en/lifts/14980/datas.htm",,"2600 Pers/h",,,"1480 m",,"?? m","?? m","1985 m","?? %","105 %","1225 m","15 Stk","5 m/s","6,5 min",,"506 m"
"Chamossière","Morzine","3-CLF","https://lift-world.info/en/lifts/9712/datas.htm",,"1470 Pers/h",,,"1600 m",,"?? m","?? m","1989 m","40 %","64 %","1053 m","?? Stk","2,5 m/s","?? min",,"389 m"
"Ascenceur la Patinoire","Morzine","25-FUC","https://lift-world.info/en/lifts/9497/datas.htm",,"500 Pers/h",,,"941 m",,"?? m","?? m","970 m","?? %","?? %","48 m",,"?? m/s","?? min",,"29 m"
"Mossettes","Les Crosets","4-CLD","https://lift-world.info/en/lifts/5190/datas.htm",,"2400 Pers/h",,,"1684 m",,"?? m","?? m","2254 m","?? %","?? %","1788 m","?? Stk","?? m/s","?? min",,"570 m"
"Marcheuson","Les Crosets","1-SL","https://lift-world.info/en/lifts/10471/datas.htm",,"600 Pers/h",,,"1810 m",,"?? m","?? m","1938 m","?? %","?? %","406 m","?? Stk","?? m/s","?? min",,"128 m"
"Hameau","Les Crosets","1-SL","https://lift-world.info/en/lifts/16485/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Hameau","Les Crosets","1-SL","https://lift-world.info/en/lifts/17606/datas.htm",,"600 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","215 m","?? Stk","1,8 m/s","?? min",,"52 m"
"Gueilly","Les Crosets","??-SL","https://lift-world.info/en/lifts/16484/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Grand-Conche","Les Crosets","6-CLD","https://lift-world.info/en/lifts/15503/datas.htm",,"3000 Pers/h",,,"1682 m",,,"?? m","2132 m","?? %","?? %","1429 m","15 Stk","5,0 m/s","5,3 min",,"450 m"
"Cuboré-Grand Conche","Les Crosets","1-SL","https://lift-world.info/en/lifts/16719/datas.htm",,"605 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","452 m","?? Stk","2,5 m/s","?? min",,"171 m"
"Cuboré","Les Crosets","1-SL","https://lift-world.info/en/lifts/11717/datas.htm",,"900 Pers/h",,,"1966 m",,"?? m","?? m","2121 m","?? %","?? %","455 m","?? Stk","?? m/s","?? min",,"155 m"
"Crosets II","Les Crosets","4-CLF","https://lift-world.info/en/lifts/9055/datas.htm",,"2400 Pers/h",,,"1683 m",,,"?? m","1941 m","?? %","?? %","840 m","?? Stk","?? m/s","?? min",,"258 m"
"Crosets I","Les Crosets","1-SL","https://lift-world.info/en/lifts/10472/datas.htm",,"800 Pers/h",,,"1685 m",,"?? m","?? m","1938 m","?? %","?? %","845 m","?? Stk","?? m/s","?? min",,"253 m"
"Crosets","Les Crosets","8-CLD","https://lift-world.info/en/lifts/13298/datas.htm",,"4000 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","836 m","8 Stk","5,0 m/s","3,3 min",,"253 m"
