"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Jersey Cream Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13204/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Horstman","Whistler","2-SL","https://lift-world.info/en/lifts/3493/datas.htm",,"1200 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","751 m","?? Stk","3 m/s","?? min",,"206 m"
"Harmony Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3513/datas.htm",,"2400 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1755 m","19 Stk","5,08 m/s","?? min",,"524 m"
"Harmony 6 Express","Whistler","6-CLD","https://lift-world.info/en/lifts/17107/datas.htm",,"3600 Pers/h",,,"1572 m",,,"?? m","2107 m","?? %","?? %","1729 m","19 Stk","5,08 m/s","6,0 min",,"535 m"
"Greenline Express","Whistler","4-CLD","https://lift-world.info/en/lifts/13203/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Gondola","Whistler","4-MGD","https://lift-world.info/en/lifts/13202/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Glacier Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3491/datas.htm",,"2500 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1882 m","?? Stk","5,08 m/s","?? min",,"599 m"
"Garbanzo Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3505/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","2168 m","?? Stk","5,1 m/s","?? min",,"663 m"
"Franz´s","Whistler","3-CLF","https://lift-world.info/en/lifts/3507/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"272 m"
"Fitzsimmons Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3504/datas.htm",,"2650 Pers/h",,,"675 m",,,"?? m","1019 m","?? %","?? %","1772 m","19 Stk","5,1 m/s","?? min",,"344 m"
"Fitzsimmons Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13201/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Excelerator Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3496/datas.htm",,"2650 Pers/h",,,"1134 m",,,"?? m","1650 m","31,7 %","?? %","1703 m","21 Stk","5,08 m/s","536 min",,"514 m"
"Excalibur Gondola 2","Whistler","8-MGD","https://lift-world.info/en/lifts/3500/datas.htm",,"2600 Pers/h",,,"770 m",,,"?? m","1136 m","24,1 %","?? %","1480 m","?? Stk","5,08 m/s","5,1 min",,"366 m"
"Excalibur Gondola 1","Whistler","8-MGD","https://lift-world.info/en/lifts/3499/datas.htm",,"2600 Pers/h",,,"696,7 m",,,"?? m","770 m","12,1 %","?? %","723,7 m","?? Stk","5,08 m/s","2,4 min",,"86,7 m"
"Emerald Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3511/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1810 m","?? Stk","5,1 m/s","?? min",,"425 m"
"Emerald 6 Express","Whistler","6-CLD","https://lift-world.info/en/lifts/19307/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Crystal Ridge Express","Whistler","4-CLD","https://lift-world.info/en/lifts/17106/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Crystal","Whistler","3-CLF","https://lift-world.info/en/lifts/3492/datas.htm",,"1800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1062 m","?? Stk","2,54 m/s","?? min",,"367 m"
"Cruiser Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13200/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Creekside Gondola","Whistler","6-MGD","https://lift-world.info/en/lifts/3502/datas.htm",,"2370 Pers/h",,,"653 m",,"?? m","?? m","1300 m","?? %","?? %","2050 m","24 Stk","5,2 m/s","13 min",,"644 m"
"Catskinner Express","Whistler","4-CLD","https://lift-world.info/en/lifts/19390/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Catskinner","Whistler","3-CLF","https://lift-world.info/en/lifts/3498/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1375 m","18 Stk","2,4 m/s","?? min",,"?? m"
"Blue Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13199/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Black Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13198/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Big Red Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3512/datas.htm",,"2800 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","2478 m","?? Stk","5,1 m/s","?? min",,"555 m"
"7th Heaven Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3494/datas.htm",,"2400 Pers/h",,,"1696 m",,,"?? m","2284 m","?? %","?? %","1752 m","24 Stk","5,08 m/s","8 min",,"588 m"
"Whistler","Windham","3-CLF","https://lift-world.info/en/lifts/19857/datas.htm",,"1500 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","2,0 m/s","?? min",,"?? m"
